Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Stalwart Shield-Bearers",1,36498,Common,ROE,46/248,No
"Stampeding Elk Herd",1,56136,Common,DTK,208/264,No
"Stampeding Horncrest",1,66685,Common,RIX,116/196,No
"Stangg",1,33600,Uncommon,ME3,177/230,No
"Star Compass",1,19455,Uncommon,8ED,315/350,No
"Star of Extinction",1,65338,Mythic Rare,XLN,161/279,No
"Starfield of Nyx",1,57860,Mythic Rare,ORI,33/272,No
"Starke of Rath",1,9853,Rare,TE,205/350,No
"Starstorm",1,18099,Rare,ONS,238/350,No
"Static Orb",1,15870,Rare,7E,319/350,No
"Steadfast Sentinel",1,64532,Common,HOU,24/199,No
"Steady Progress",1,38089,Common,SOM,45/249,No
"Steam Spitter",1,24715,Uncommon,CSP,124/155,No
"Steam Vents",1,46805,Rare,RTR,247/274,No
"Steel Hellkite",1,38161,Rare,SOM,205/249,No
"Steelshaper Apprentice",1,20576,Rare,DST,15/165,Yes
"Sterling Grove",1,14723,Uncommon,IN,278/350,No
"Steward of Solidarity",1,64534,Uncommon,HOU,25/199,No
"Stigma Lasher",1,30072,Rare,EVE,62/180,No
"Stingerfling Spider",1,41357,Uncommon,M12,197/249,No
"Stinging Shot",1,63980,Common,AKH,189/269,No
"Stinkdrinker Daredevil",1,28571,Common,LRW,191/301,No
"Stir the Sands",1,63822,Uncommon,AKH,110/269,No
"Stirring Wildwood",1,35679,Rare,WWK,144/145,No
"Stitch Together",1,17494,Uncommon,JUD,72/143,No
"Stitcher Geralf",1,55111,Mythic Rare,C14,17/337,No
"Stoic Champion",1,18533,Uncommon,LGN,21/145,No
"Stolen Identity",1,47780,Rare,GTC,53/249,Yes
"Stone Calendar",1,27971,Uncommon,MED,167/195,No
"Stonebrow, Krosan Hero",1,25847,Rare,TSP,247/301,No
"Stonecloaker",1,26305,Uncommon,PLC,19/165,No
"Stoneforge Acolyte",1,59265,Uncommon,OGW,38/184,No
"Stoneforge Mystic",1,35737,Rare,WWK,20/145,No
"Stonehands",1,30572,Common,ME2,151/245,No
"Stonehoof Chieftain",1,62299,Rare,PZ2,35/73,No
"Stonehorn Dignitary",1,41397,Common,M12,37/249,No
"Stoneshock Giant",1,50492,Uncommon,THS,142/249,No
"Stonybrook Angler",1,28223,Common,LRW,90/301,No
"Stonybrook Banneret",1,29045,Common,MOR,51/150,Yes
"Stonybrook Schoolmaster",1,29191,Common,MOR,25/150,Yes
"Storm Cauldron",1,15878,Rare,7E,320/350,No
"Storm Fleet Aerialist",1,65180,Uncommon,XLN,83/279,No
"Storm Fleet Arsonist",1,65340,Uncommon,XLN,162/279,No
"Storm Fleet Sprinter",1,66805,Uncommon,RIX,172/196,No
"Storm Fleet Spy",1,65182,Uncommon,XLN,84/279,No
"Storm Fleet Swashbuckler",1,66687,Uncommon,RIX,117/196,No
"Storm Herd",1,40753,Rare,CMD,34/318,No
"Storm Shaman",1,15882,Uncommon,7E,222/350,No
"Storm Spirit",1,30574,Rare,ME2,198/245,No
"Storm World",1,33730,Rare,ME3,111/230,No
"Stormbreath Dragon",1,50522,Mythic Rare,THS,143/249,No
"Stormcaller of Keranos",1,51689,Uncommon,BNG,112/165,No
"Stormscape Battlemage",1,51080,Uncommon,C13,58/356,No
"Stormsurge Kraken",1,55155,Rare,C14,18/337,No
"Stormtide Leviathan",1,37405,Rare,M11,74/249,Yes
"Stormwing Dragon",1,56094,Uncommon,DTK,159/264,No
"Story Circle",1,19645,Rare,8ED,50/350,No
"Strands of Night",1,15884,Uncommon,7E,165/350,No
"Strange Inversion",1,21577,Uncommon,CHK,192/306,No
"Stranglehold",1,40631,Rare,CMD,136/318,No
"Strata Scythe",1,38180,Rare,SOM,206/249,Yes
"Stratadon",1,15281,Uncommon,PS,135/143,No
"Strategic Planning",1,64578,Common,HOU,47/199,No
"Stratus Dancer",1,56178,Rare,DTK,80/264,No
"Stream Hopper",1,29996,Common,EVE,113/180,No
"Stream of Unconsciousness",1,29072,Common,MOR,52/150,No
"Streambed Aquitects",1,28236,Common,LRW,91/301,Yes
"Street Sweeper",1,46721,Uncommon,RTR,234/274,No
"Strength of Isolation",1,17101,Uncommon,TOR,17/143,No
"Strength of Lunacy",1,17215,Uncommon,TOR,86/143,No
"Strength of Night",1,16124,Common,AP,86/143,No
"Strength of the Pack",1,66743,Uncommon,RIX,145/196,No
"Strength of Unity",1,14859,Common,IN,40/350,No
"Strider Harness",1,38154,Common,SOM,207/249,Yes
"Striking Sliver",1,49471,Common,M14,157/249,No
"Strip Bare",1,29872,Common,SHM,24/301,Yes
"Strip Mine",1,52853,Rare,VMA,316/325,No
"Striped Riverwinder",1,64580,Common,HOU,48/199,No
"Stromkirk Captain",1,43331,Uncommon,DKA,143/158,No
"Stronghold Overseer",1,25771,Rare,TSP,133/301,No
"Student of Elements",1,21233,Uncommon,CHK,93/306,No
"Stuffy Doll",1,45694,Rare,M13,218/249,No
"Stunt Double",1,62281,Rare,PZ2,13/73,No
"Sublime Archangel",1,45590,Mythic Rare,M13,36/249,No
"Subterranean Hangar",1,13121,Uncommon,MM,329/350,No
"Subterranean Scout",1,58006,Common,ORI,164/272,No
"Subterranean Spirit",1,7337,Rare,MI,195/350,No
"Subterranean Tremors",1,62259,Mythic Rare,PZ2,30/73,No
"Su-Chi",1,53239,Uncommon,VMA,285/325,No
"Sudden Death",1,25743,Uncommon,TSP,134/301,No
"Sudden Reclamation",1,55606,Uncommon,FRF,139/185,No
"Suleiman's Legacy",1,7733,Rare,VI,138/167,No
"Sulfur Vent",1,14811,Common,IN,328/350,No
"Sulfurous Blast",1,40774,Uncommon,CMD,137/318,No
"Sulfurous Springs",1,22613,Rare,9ED,325/350,No
"Sultai Ascendancy",1,54446,Rare,KTK,203/269,No
"Sultai Banner",1,54068,Common,KTK,225/269,No
"Summon the School",1,28765,Uncommon,LRW,42/301,No
"Summoner's Pact",1,48648,Rare,MMA,164/229,No
"Summoning Station",1,20872,Rare,5DN,158/165,No
"Sun Ce, Young Conquerer",1,33810,Uncommon,ME3,52/230,No
"Sun Droplet",1,51316,Uncommon,C13,261/356,No
"Sun Quan, Lord of Wu",1,33768,Rare,ME3,53/230,No
"Sun Sentinel",1,66505,Common,RIX,26/196,No
"Sun Titan",1,37406,Mythic Rare,M11,35/249,No
"Sunastian Falconer",1,33602,Uncommon,ME3,178/230,No
"Sunbird's Invocation",1,65346,Rare,XLN,165/279,No
"Sunblast Angel",1,38443,Rare,SOM,22/249,No
"Sunbond",1,51765,Uncommon,BNG,28/165,No
"Sunbringer's Touch",1,56218,Rare,DTK,209/264,No
"Sun-Collared Raptor",1,66689,Common,RIX,118/196,No
"Sun-Crested Pterodon",1,66507,Common,RIX,27/196,No
"Sun-Crowned Hunters",1,65344,Common,XLN,164/279,No
"Suncrusher",1,20680,Rare,5DN,159/165,No
"Sunder",1,12391,Rare,UZ,101/350,No
"Sunder from Within",1,22212,Uncommon,SOK,117/165,No
"Sundial of the Infinite",1,41483,Rare,M12,218/249,No
"Sunfire Balm",1,17735,Uncommon,ONS,56/350,No
"Sunforger",1,57424,Rare,MM2,232/249,No
"Sungrass Prairie",1,16441,Rare,OD,328/350,No
"Sunhome, Fortress of the Legion",1,23456,Uncommon,RAV,282/306,No
"Sunken Hollow",1,58659,Rare,BFZ,249/274,No
"Sunrise Sovereign",1,28355,Rare,LRW,192/301,No
"Sunscorched Desert",1,64160,Common,AKH,249/269,No
"Sunscourge Champion",1,64536,Uncommon,HOU,26/199,No
"Sunset Pyramid",1,64856,Uncommon,HOU,166/199,No
"Sunweb",1,19414,Rare,8ED,52/350,Yes
"Superior Numbers",1,7341,Uncommon,MI,244/350,No
"Supernatural Stamina",1,63824,Common,AKH,111/269,No
"Supply Caravan",1,63662,Common,AKH,30/269,No
"Supply/Demand",1,24369,Uncommon,DIS,,No
"Supreme Verdict",1,46483,Rare,RTR,201/274,No
"Supreme Will",1,64582,Uncommon,HOU,49/199,No
"Surestrike Trident",1,20522,Uncommon,DST,147/165,Yes
"Surge of Zeal",1,23238,Common,RAV,146/306,No
"Surgespanner",1,28505,Rare,LRW,92/301,No
"Surrak Dragonclaw",1,54255,Mythic Rare,KTK,206/269,Yes
"Survival Cache",1,51064,Uncommon,C13,23/356,No
"Survival of the Fittest",1,52837,Rare,VMA,234/325,No
"Survivors' Encampment",1,64892,Common,HOU,184/199,No
"Sustaining Spirit",1,30730,Rare,ME2,36/245,No
"Svogthos, the Restless Tomb",1,23464,Uncommon,RAV,283/306,No
"Svyelunite Temple",1,30368,Uncommon,ME2,237/245,No
"Swaggering Corsair",1,66691,Common,RIX,119/196,No
"Swarm Intelligence",1,64584,Rare,HOU,50/199,No
"Swarm of Bloodflies",1,54334,Uncommon,KTK,92/269,No
"Swarm of Rats",1,19037,Uncommon,8ED,167/350,No
"Swat",1,12509,Common,UL,69/143,No
"Sweltering Suns",1,63900,Rare,AKH,149/269,No
"Swift Warden",1,66745,Uncommon,RIX,146/196,No
"Sword of Body and Mind",1,38279,Mythic Rare,SOM,208/249,No
"Sword of Feast and Famine",1,39549,Mythic Rare,MBS,138/155,No
"Sword of Fire and Ice",1,39650,Rare,PRM,532/1158,No
"Sword of Kaldra",1,20273,Rare,MRD,251/306,No
"Sword of Light and Shadow",1,20539,Rare,DST,149/165,No
"Sword of the Ages",1,33732,Rare,ME3,202/230,No
"Sword of the Animist",1,58134,Rare,ORI,240/272,No
"Sword of the Meek",1,26660,Uncommon,FUT,165/180,No
"Sword of the Paruns",1,23889,Rare,GPT,156/165,No
"Sword of Vengeance",1,37430,Rare,M11,216/249,No
"Sword of War and Peace",1,39730,Mythic Rare,NPH,161/175,No
"Swords to Plowshares",1,52909,Uncommon,VMA,51/325,No
"Sworn Guardian",1,66569,Common,RIX,58/196,No
"Sygg, River Cutthroat",1,29525,Rare,SHM,176/301,No
"Sygg, River Guide",1,28438,Rare,LRW,251/301,Yes
"Sylvan Bounty",1,31777,Common,CON,94/145,No
"Sylvan Caryatid",1,50120,Rare,PRM,1106/1158,No
"Sylvan Library",1,53109,Rare,VMA,235/325,No
"Sylvan Offering",1,55151,Rare,C14,48/337,No
"Sylvan Reclamation",1,62359,Uncommon,PZ2,39/73,No
"Sylvan Safekeeper",1,55233,Rare,C14,217/337,No
"Sylvan Tutor",1,38974,Uncommon,ME4,169/260,No
"Sylvok Explorer",1,20780,Common,5DN,93/165,No
"Symbiotic Beast",1,18165,Uncommon,ONS,287/350,No
"Symbiotic Deployment",1,16276,Rare,AP,88/143,No
"Symbiotic Wurm",1,40679,Rare,CMD,174/318,No
"Synchronized Strike",1,63982,Uncommon,AKH,190/269,No
"Syndicate Trafficker",1,61937,Rare,KLD,101/264,No
"Szadek, Lord of Secrets",1,23490,Rare,RAV,234/306,No
"Tablet of Epityr",1,38757,Common,ME4,230/260,Yes
"Tah-Crop Elite",1,63664,Common,AKH,31/269,No
"Tah-Crop Skirmisher",1,63746,Common,AKH,72/269,No
"Tahngarth, Talruum Hero",1,15293,Rare,PS,74/143,No
"Taiga",1,53089,Rare,VMA,317/325,No
"Taigam, Ojutai Master",1,65739,Rare,PZ2,/309,No
"Taigam, Sidisi's Hand",1,65715,Rare,PZ2,/309,No
"Tainted Field",1,48091,Uncommon,DDK,34/80,No
"Tainted Isle",1,17323,Uncommon,TOR,141/143,No
"Tainted Pact",1,16751,Rare,OD,164/350,No
"Tainted Peak",1,17325,Uncommon,TOR,142/143,No
"Tainted Remedy",1,57952,Rare,ORI,120/272,No
"Tainted Sigil",1,32396,Uncommon,ARB,83/145,No
"Tainted Specter",1,7353,Rare,MI,148/350,No
"Tainted Strike",1,38269,Common,SOM,80/249,No
"Tainted Wood",1,17327,Uncommon,TOR,143/143,No
"Tajic, Blade of the Legion",1,48218,Rare,DGM,107/156,No
"Taj-Nar Swordsmith",1,57367,Uncommon,MM2,36/249,Yes
"Tajuru Preserver",1,36394,Rare,ROE,211/248,No
"Take Possession",1,26888,Rare,FUT,44/180,No
"Takeno, Samurai General",1,21401,Rare,CHK,46/306,No
"Talisman of Dominance",1,19679,Uncommon,MRD,253/306,No
"Talisman of Impulse",1,19683,Uncommon,MRD,254/306,No
"Talisman of Indulgence",1,19681,Uncommon,MRD,255/306,No
"Talisman of Progress",1,19677,Uncommon,MRD,256/306,No
"Talisman of Unity",1,19685,Uncommon,MRD,257/306,No
"Talrand, Sky Summoner",1,45567,Rare,M13,72/249,Yes
"Talruum Champion",1,7743,Common,VI,97/167,No
"Talruum Minotaur",1,7355,Common,MI,196/350,No
"Talruum Piper",1,7745,Uncommon,VI,98/167,No
"Tamanoa",1,24747,Rare,CSP,132/155,No
"Tamiyo, Field Researcher",1,61262,Mythic Rare,EMN,190/205,No
"Tamiyo, the Moon Sage",1,43979,Mythic Rare,AVR,79/244,No
"Tana, the Bloodsower",1,62325,Mythic Rare,PZ2,55/73,No
"Tandem Lookout",1,44131,Uncommon,AVR,80/244,No
"Tangle Angler",1,38143,Uncommon,SOM,128/249,No
"Tangle Spider",1,27600,Uncommon,10E,303/383,No
"Tanglewalker",1,20309,Uncommon,DST,86/165,No
"Taniwha",1,7357,Rare,MI,95/350,No
"Tarfire",1,28299,Common,LRW,194/301,No
"Tariel, Reckoner of Souls",1,40653,Mythic Rare,CMD,229/318,No
"Tarox Bladewing",1,26592,Rare,FUT,123/180,No
"Tasigur, the Golden Fang",1,55338,Rare,FRF,87/185,No
"Taste for Mayhem",1,23997,Common,DIS,75/180,No
"Taurean Mauler",1,29202,Rare,MOR,109/150,No
"Tawnos's Coffin",1,23946,Rare,PRM,49/1158,No
"Tawnos's Wand",1,38758,Common,ME4,231/260,No
"Tectonic Edge",1,35589,Uncommon,WWK,145/145,No
"Teeka's Dragon",1,7359,Rare,MI,320/350,No
"Teetering Peaks",1,34404,Common,ZEN,226/249,No
"Teferi, Mage of Zhalfir",1,25367,Rare,TSP,83/301,No
"Teferi's Care",1,14625,Uncommon,IN,43/350,No
"Teferi's Imp",1,7365,Rare,MI,98/350,No
"Teferi's Isle",1,7367,Rare,MI,330/350,No
"Teferi's Protection",1,65701,Rare,PZ2,/309,No
"Teferi's Puzzle Box",1,19417,Rare,8ED,316/350,No
"Telekinesis",1,28143,Common,MED,52/195,No
"Telekinetic Bonds",1,17630,Rare,JUD,52/143,No
"Telepathy",1,32689,Uncommon,M10,74/249,No
"Telim'Tor",1,7369,Rare,MI,197/350,No
"Telim'Tor's Edict",1,7373,Rare,MI,198/350,No
"Tel-Jilad Fallen",1,38139,Common,SOM,130/249,No
"Tel-Jilad Stylus",1,20069,Uncommon,MRD,260/306,No
"Temple Altisaur",1,66509,Rare,RIX,28/196,No
"Temple Bell",1,37454,Rare,M11,217/249,No
"Temple Garden",1,46501,Rare,RTR,248/274,No
"Temple of Abandon",1,50266,Rare,THS,224/249,No
"Temple of Deceit",1,50264,Rare,THS,225/249,No
"Temple of Enlightenment",1,51561,Rare,BNG,163/165,No
"Temple of Epiphany",1,51966,Rare,JOU,164/165,No
"Temple of Malady",1,51968,Rare,JOU,165/165,No
"Temple of Malice",1,51563,Rare,BNG,164/165,No
"Temple of Mystery",1,50272,Rare,THS,226/249,No
"Temple of Plenty",1,51565,Rare,BNG,165/165,No
"Temple of Silence",1,50268,Rare,THS,227/249,No
"Temple of Triumph",1,50270,Rare,THS,228/249,No
"Temporal Aperture",1,12377,Rare,UZ,310/350,No
"Temporal Cascade",1,20195,Rare,MRD,52/306,No
"Temporal Extortion",1,26431,Rare,PLC,81/165,No
"Temporal Isolation",1,25383,Common,TSP,43/301,No
"Tempt with Discovery",1,51396,Rare,C13,174/356,No
"Tempt with Glory",1,51386,Rare,C13,24/356,No
"Tempt with Immortality",1,51348,Rare,C13,95/356,No
"Tempt with Reflections",1,51330,Rare,C13,60/356,No
"Tempting Wurm",1,18191,Rare,ONS,291/350,No
"Temur Charm",1,54132,Uncommon,KTK,208/269,No
"Temur Sabertooth",1,55632,Uncommon,FRF,141/185,No
"Tenacious Hunter",1,64756,Uncommon,HOU,136/199,No
"Tendershoot Dryad",1,66747,Rare,RIX,147/196,No
"Teneb, the Harvester",1,40467,Rare,CMD,230/318,No
"Tenza, Godo's Maul",1,21426,Uncommon,CHK,271/306,Yes
"Terashi's Grasp",1,21825,Common,BOK,26/165,No
"Terashi's Verdict",1,21743,Uncommon,BOK,27/165,No
"Terastodon",1,35629,Rare,WWK,115/145,No
"Terminal Moraine",1,15187,Uncommon,PS,142/143,No
"Terminus",1,43815,Rare,AVR,38/244,No
"Terrain Generator",1,31578,Uncommon,DD2,29/62,No
"Terravore",1,16555,Rare,OD,278/350,No
"Territorial Hellkite",1,65691,Rare,PZ2,/309,No
"Testament of Faith",1,17017,Uncommon,OD,55/350,No
"Tetsuo Umezawa",1,33734,Rare,ME3,179/230,No
"Tetzimoc, Primal Death",1,66625,Rare,RIX,86/196,No
"Teysa, Envoy of Ghosts",1,48267,Rare,DGM,108/156,Yes
"Teysa, Orzhov Scion",1,23935,Rare,GPT,134/165,No
"Tezzeret the Schemer",1,62557,Mythic Rare,AER,137/184,No
"Tezzeret the Seeker",1,57088,Mythic Rare,MM2,62/249,No
"Tezzeret's Gambit",1,39910,Uncommon,NPH,47/175,No
"Thada Adel, Acquisitor",1,35735,Rare,WWK,40/145,No
"Thalakos Dreamsower",1,10095,Uncommon,TE,92/350,No
"Thalakos Drifters",1,52716,Uncommon,VMA,97/325,Yes
"Thalakos Mistfolk",1,9605,Common,TE,93/350,No
"Thalakos Scout",1,10735,Common,EX,48/143,No
"Thalakos Sentry",1,9603,Common,TE,95/350,No
"Thalia, Guardian of Thraben",1,55699,Promo,PRM,/1158,No
"Thassa, God of the Sea",1,50306,Mythic Rare,THS,66/249,No
"Thaumatic Compass",1,65524,Rare,XLN,249/279,No
"The Immortal Sun",1,66827,Mythic Rare,RIX,180/196,No
"The Lady of the Mountain",1,33606,Common,ME3,180/230,No
"The Locust God",1,64762,Mythic Rare,HOU,139/199,No
"The Mimeoplasm",1,40621,Mythic Rare,CMD,210/318,No
"The Scarab God",1,64774,Mythic Rare,HOU,145/199,No
"The Scorpion God",1,64776,Mythic Rare,HOU,146/199,No
"The Unspeakable",1,21235,Rare,CHK,98/306,No
"The Ur-Dragon",1,65675,Mythic Rare,PZ2,/309,No
"Thelon of Havenwood",1,25755,Rare,TSP,227/301,No
"Thermal Flux",1,24815,Common,CSP,49/155,No
"Thermopod",1,24609,Common,CSP,100/155,No
"Thespian's Stage",1,47805,Rare,GTC,248/249,No
"Thicket Elemental",1,14901,Rare,IN,214/350,No
"Thieves' Auction",1,19173,Rare,8ED,227/350,No
"Thieves' Fortune",1,29090,Uncommon,MOR,54/150,No
"Thistledown Duo",1,29625,Common,SHM,152/301,No
"Thistledown Liege",1,29547,Rare,SHM,153/301,No
"Thopter Assembly",1,39501,Rare,MBS,140/155,No
"Thopter Engineer",1,58018,Uncommon,ORI,165/272,No
"Thopter Spy Network",1,57906,Rare,ORI,79/272,No
"Thopter Squadron",1,56926,Rare,TPR,233/269,No
"Thorned Moloch",1,64700,Common,HOU,108/199,No
"Those Who Serve",1,63666,Common,AKH,32/269,No
"Thought Lash",1,30732,Rare,ME2,70/245,No
"Thought Reflection",1,29477,Rare,SHM,53/301,No
"Thought Vessel",1,59069,Uncommon,PZ1,131/149,No
"Thoughtbound Primoc",1,17646,Uncommon,ONS,240/350,Yes
"Thoughtpicker Witch",1,23006,Common,RAV,109/306,No
"Thoughtrender Lamia",1,52272,Uncommon,JOU,85/165,No
"Thoughtweft Trio",1,28477,Rare,LRW,44/301,No
"Thousand-Year Elixir",1,28327,Rare,LRW,263/301,No
"Thragtusk",1,45582,Rare,M13,193/249,No
"Thran Dynamo",1,58981,Uncommon,PZ1,132/149,No
"Thran Forge",1,9373,Uncommon,WL,159/167,No
"Thran Golem",1,22455,Rare,9ED,313/350,No
"Thran Tome",1,9261,Rare,WL,160/167,No
"Thrashing Brontodon",1,66749,Uncommon,RIX,148/196,No
"Thrasios, Triton Hero",1,62307,Rare,PZ2,47/73,No
"Thraximundar",1,51004,Mythic Rare,C13,221/356,No
"Three Dreams",1,23120,Rare,RAV,32/306,No
"Three Visits",1,33842,Common,ME3,135/230,No
"Three Wishes",1,7757,Rare,VI,45/167,No
"Thresher Lizard",1,63902,Common,AKH,150/269,No
"Thriss, Nantuko Primus",1,17604,Rare,JUD,134/143,No
"Throat Slitter",1,21671,Uncommon,BOK,88/165,No
"Throne of the God-Pharaoh",1,64136,Rare,AKH,237/269,No
"Throwing Knife",1,57699,Uncommon,ORI,241/272,Yes
"Thrull Champion",1,28019,Rare,MED,83/195,No
"Thrummingbird",1,38079,Uncommon,SOM,47/249,No
"Thunder Dragon",1,39004,Rare,ME4,138/260,No
"Thunder Spirit",1,28145,Uncommon,MED,27/195,No
"Thunder Totem",1,25485,Uncommon,TSP,265/301,No
"Thunderblust",1,57084,Rare,MM2,131/249,No
"Thunderclap Wyvern",1,58102,Uncommon,ORI,218/272,No
"Thunderfoot Baloth",1,55137,Rare,C14,49/337,No
"Thunderheads",1,23769,Uncommon,GPT,37/165,No
"Thunderherd Migration",1,66751,Uncommon,RIX,149/196,No
"Thundering Spineback",1,65440,Uncommon,XLN,210/279,No
"Thundermaw Hellkite",1,45414,Mythic Rare,M13,150/249,No
"Tibalt, the Fiend-Blooded",1,44235,Mythic Rare,AVR,161/244,No
"Tibor and Lumia",1,23829,Rare,GPT,135/165,No
"Tidal Courier",1,16288,Uncommon,AP,31/143,No
"Tidal Force",1,51114,Rare,C13,62/356,No
"Tidal Kraken",1,19171,Rare,8ED,108/350,No
"Tidal Warrior",1,10415,Common,ST,47/143,No
"Tidal Wave",1,7379,Uncommon,MI,100/350,No
"Tide of War",1,21207,Rare,CHK,194/306,No
"Tidebinder Mage",1,49493,Rare,M14,73/249,No
"Tidehollow Strix",1,50954,Common,C13,222/356,No
"Tideshaper Mystic",1,28543,Common,LRW,93/301,No
"Tidespout Tyrant",1,24207,Rare,DIS,34/180,No
"Tightening Coils",1,58595,Common,BFZ,86/274,No
"Tilling Treefolk",1,29976,Common,EVE,78/180,No
"Tilonalli's Crown",1,66693,Common,RIX,120/196,No
"Tilonalli's Skinshifter",1,65356,Rare,XLN,170/279,No
"Tilonalli's Summoner",1,66695,Rare,RIX,121/196,No
"Timber Gorge",1,59447,Uncommon,OGW,179/184,No
"Timber Protector",1,28381,Rare,LRW,238/301,No
"Timberland Ruins",1,16459,Common,OD,330/350,No
"Time of Need",1,21283,Uncommon,CHK,247/306,No
"Time Reversal",1,37392,Mythic Rare,M11,75/249,No
"Time Sieve",1,32488,Rare,ARB,31/145,No
"Time Stop",1,21191,Rare,CHK,97/306,No
"Time to Feed",1,50518,Common,THS,181/249,No
"Time to Reflect",1,63668,Uncommon,AKH,33/269,No
"Time Vault",1,53091,Mythic Rare,VMA,287/325,No
"Timesifter",1,20193,Rare,MRD,262/306,No
"Timestream Navigator",1,66571,Mythic Rare,RIX,59/196,No
"Tinder Farm",1,14835,Common,IN,329/350,No
"Tine Shrike",1,39371,Common,MBS,17/155,No
"Tishana, Voice of Thunder",1,65480,Mythic Rare,XLN,230/279,No
"Tishana's Wayfinder",1,65442,Common,XLN,211/279,No
"Titania, Protector of Argoth",1,55119,Mythic Rare,C14,50/337,No
"Titanic Ultimatum",1,30913,Rare,ALA,204/249,No
"Tithe Drinker",1,48476,Common,DGM,109/156,No
"Tivadar of Thorn",1,25753,Rare,TSP,44/301,No
"Tobias Andrion",1,33610,Common,ME3,181/230,No
"Tocatli Honor Guard",1,65096,Rare,XLN,42/279,No
"Toil/Trouble",1,48536,Uncommon,DGM,,No
"Tolaria West",1,26822,Uncommon,FUT,173/180,No
"Tolarian Entrancer",1,9335,Rare,WL,56/167,No
"Tolarian Serpent",1,9339,Rare,WL,57/167,No
"Tolsimir Wolfblood",1,23510,Rare,RAV,236/306,No
"Tomb of the Spirit Dragon",1,53946,Uncommon,KTK,245/269,No
"Tomb Robber",1,66627,Rare,RIX,87/196,No
"Tomorrow, Azami's Familiar",1,21717,Rare,BOK,58/165,No
"Tooth and Nail",1,48860,Rare,MMA,170/229,No
"Tooth of Chiss-Goria",1,20135,Common,MRD,264/306,No
"Topplegeist",1,59936,Uncommon,SOI,45/297,No
"Tor Wauki",1,33612,Uncommon,ME3,182/230,No
"Torchling",1,26429,Rare,PLC,110/165,No
"Torment of Hailfire",1,64638,Rare,HOU,77/199,No
"Torment of Scarabs",1,64640,Uncommon,HOU,78/199,No
"Torment of Venom",1,64642,Common,HOU,79/199,No
"Tormentor's Trident",1,43866,Uncommon,AVR,222/244,Yes
"Tornado",1,28131,Rare,MED,136/195,No
"Tornado Elemental",1,20806,Rare,5DN,97/165,No
"Torrent Elemental",1,55628,Mythic Rare,FRF,56/185,No
"Torrent of Lava",1,7383,Rare,MI,199/350,No
"Torsten Von Ursus",1,33614,Common,ME3,183/230,No
"Tortured Existence",1,10329,Common,ST,74/143,No
"Toshiro Umezawa",1,21705,Rare,BOK,89/165,No
"Totem-Guide Hartebeest",1,36746,Common,ROE,50/248,No
"Tower Defense",1,47645,Uncommon,GTC,137/249,No
"Tower of Fortunes",1,19997,Rare,MRD,267/306,No
"Toxic Deluge",1,51366,Rare,C13,96/356,No
"Toxic Nim",1,40014,Common,NPH,75/175,No
"Toymaker",1,13245,Uncommon,MM,314/350,No
"Tracker",1,33654,Uncommon,ME3,136/230,No
"Trade Routes",1,22475,Rare,9ED,108/350,No
"Trading Post",1,45696,Rare,M13,220/249,No
"Tragic Lesson",1,64586,Common,HOU,51/199,No
"Trailblazer's Boots",1,34618,Uncommon,ZEN,208/249,No
"Training Drone",1,39384,Common,MBS,142/155,Yes
"Training Grounds",1,36450,Rare,ROE,91/248,No
"Trait Doctoring",1,48279,Rare,DGM,18/156,Yes
"Traitor's Clutch",1,25437,Common,TSP,137/301,No
"Transcendence",1,17115,Rare,TOR,20/143,No
"Transcendent Master",1,36674,Mythic Rare,ROE,51/248,No
"Transguild Courier",1,24177,Uncommon,DIS,168/180,No
"Transmogrifying Licid",1,10667,Uncommon,EX,141/143,No
"Trapjaw Tyrant",1,66511,Mythic Rare,RIX,29/196,No
"Trash for Treasure",1,20153,Rare,MRD,109/306,No
"Traumatize",1,49240,Rare,M14,77/249,Yes
"Traveler's Amulet",1,50208,Common,THS,221/249,No
"Traverse the Outlands",1,65671,Rare,PZ2,/309,No
"Treacherous Terrain",1,62349,Uncommon,PZ2,42/73,No
"Treachery",1,13039,Rare,UD,50/143,No
"Treasure Cruise",1,54300,Common,KTK,59/269,No
"Treasure Mage",1,39363,Uncommon,MBS,34/155,No
"Treasure Map",1,65528,Rare,XLN,250/279,No
"Treasured Find",1,46449,Uncommon,RTR,204/274,No
"Treasury Thrull",1,47855,Rare,GTC,201/249,No
"Tree of Redemption",1,42772,Mythic Rare,ISD,207/264,No
"Treefolk Harbinger",1,28317,Uncommon,LRW,239/301,No
"Treetop Village",1,12501,Uncommon,UL,143/143,No
"Trepanation Blade",1,42341,Uncommon,ISD,235/264,Yes
"Trespasser's Curse",1,63826,Common,AKH,112/269,No
"Treva, the Renewer",1,14974,Rare,IN,280/350,Yes
"Treva's Charm",1,15303,Uncommon,PS,129/143,No
"Treva's Ruins",1,33280,Uncommon,TD0,A141/156,No
"Triad of Fates",1,50515,Rare,THS,206/249,Yes
"Trial of Ambition",1,63828,Uncommon,AKH,113/269,No
"Trial of Knowledge",1,63748,Uncommon,AKH,73/269,No
"Trial of Solidarity",1,63670,Uncommon,AKH,34/269,No
"Trial of Strength",1,63984,Uncommon,AKH,191/269,No
"Trial of Zeal",1,63906,Uncommon,AKH,152/269,No
"Trial/Error",1,24353,Uncommon,DIS,,No
"Triangle of War",1,52629,Uncommon,VMA,288/325,No
